source	target	polarity
pubchem.compound:5994	ncbigene:5241	1
pubchem.compound:146570	ncbigene:3356	-1
pubchem.compound:3559	ncbigene:2904	-1
pubchem.compound:54746	ncbigene:151	-1
pubchem.compound:44462760	ncbigene:673	-1
pubchem.compound:11626560	ncbigene:4233	-1
pubchem.compound:4184	ncbigene:4986	1
pubchem.compound:12035	ncbigene:2904	1
pubchem.compound:20279	ncbigene:6241	-1
pubchem.compound:56959	ncbigene:148	-1
pubchem.compound:44093	ncbigene:4313	-1
pubchem.compound:9915743	ncbigene:1956	-1
pubchem.compound:3019	ncbigene:760	-1
pubchem.compound:5311181	ncbigene:5739	1
pubchem.compound:6279	ncbigene:2563	-1
pubchem.compound:4737	ncbigene:2891	-1
pubchem.compound:5281071	ncbigene:3274	-1
pubchem.compound:2162	ncbigene:6609	-1
pubchem.compound:6918837	ncbigene:3066	-1
pubchem.compound:37542	ncbigene:5167	-1
pubchem.compound:3151	ncbigene:1814	-1
pubchem.compound:71360	ncbigene:3350	-1
pubchem.compound:2170	ncbigene:1812	-1
pubchem.compound:3156	ncbigene:51305	-1
pubchem.compound:6253	ncbigene:5423	-1
pubchem.compound:3902	ncbigene:1588	-1
pubchem.compound:2733526	ncbigene:10682	-1
pubchem.compound:5311067	ncbigene:2908	1
pubchem.compound:2913	ncbigene:3358	-1
pubchem.compound:2315	ncbigene:3778	1
pubchem.compound:4932	ncbigene:153	-1
pubchem.compound:4168	ncbigene:3360	1
pubchem.compound:444036	ncbigene:5321	-1
pubchem.compound:3478	ncbigene:6833	-1
pubchem.compound:3121	ncbigene:6335	-1
pubchem.compound:444008	ncbigene:2099	-1
pubchem.compound:5360696	ncbigene:653361	-1
pubchem.compound:446220	ncbigene:6531	-1
pubchem.compound:2733526	ncbigene:5580	-1
pubchem.compound:126941	ncbigene:471	-1
pubchem.compound:2913	ncbigene:1131	-1
pubchem.compound:2315	ncbigene:762	-1
pubchem.compound:34040	ncbigene:148	-1
pubchem.compound:5311507	ncbigene:1816	-1
pubchem.compound:5983	ncbigene:43	-1
pubchem.compound:33741	ncbigene:2906	-1
pubchem.compound:4497	ncbigene:776	-1
pubchem.compound:445154	ncbigene:207	-1
pubchem.compound:55245	ncbigene:2908	-1
pubchem.compound:24826799	ncbigene:7010	-1
pubchem.compound:5311304	ncbigene:4986	1
pubchem.compound:3878	ncbigene:153	-1
pubchem.compound:5206	ncbigene:2566	1
pubchem.compound:4197	ncbigene:5139	-1
pubchem.compound:3062316	ncbigene:7525	-1
